,Term,Age1,MUDI,Avg Transactions,Avg Bal,Avg Turnover,Time with Bank Years,Total Salary,Multiple Customers,Single Purpose,Outcome
674,36,2901,0,39,62,4039,3,34,0,1,G
675,48,2007,2,25,1204,2617,14,23,0,1,G
676,9,3104,0,47,286,3065,14,39,0,1,G
677,36,5111,0,25,2182,4872,9,96,1,1,G
680,36,5307,0,15,358,1125,9,18,0,1,G
686,72,3509,0,39,4548,4941,10,58,0,1,G
688,30,3600,0,15,16272,4443,9,58,1,1,G
691,36,6209,0,6,7339,0,10,68,1,1,G
694,60,4602,0,21,57961,35867,1,66,0,1,G
695,48,4204,6,90,406,6948,9,65,0,1,G
696,36,6400,3,12,262,879,10,24,0,0,G
698,48,5407,1,32,4132,21577,5,14,0,1,G
699,24,7710,0,5,1380,232,10,22,1,1,G
700,12,5305,5,27,365,2446,10,24,0,1,G
704,18,4101,2,29,588,2671,3,23,0,0,G
705,60,5008,5,44,790,4724,6,54,1,0,G
706,12,6408,3,20,105,581,10,24,1,1,G
708,48,3507,0,49,3272,4780,10,81,1,1,G
709,36,4701,0,24,3779,3823,18,30,0,1,G
710,12,5510,0,13,11570,7212,13,11,1,1,G
712,60,5607,3,38,1752,2297,7,26,1,0,G
713,6,7006,0,25,773,1638,10,16,0,1,G
714,12,4504,0,22,14234,5348,18,72,1,1,G
715,6,5602,0,14,32,1542,15,16,0,1,G
716,36,4500,0,33,3191,3238,9,25,0,1,G
719,72,4201,4,4,3533,1551,10,80,0,1,B
722,36,2900,1,53,5921,11465,10,35,0,1,G
724,36,5502,0,26,2862,4447,10,60,0,1,G
726,60,6602,0,15,39478,5322,17,151,1,1,G
727,48,5907,4,19,154,3062,19,19,0,1,G
728,60,5308,0,55,156,5150,10,60,1,1,G
730,60,4409,0,39,24407,13817,6,36,1,1,G
735,60,4711,0,13,5814,4611,9,68,1,1,G
738,60,5808,0,2,9748,1991,13,81,0,0,G
739,72,3802,0,5,3493,1775,17,29,0,0,B
741,18,5109,1,32,1364,2755,10,40,0,1,G
742,12,4807,3,15,777,1814,14,41,0,1,G
743,60,4905,3,49,222,4073,10,65,0,1,G
745,60,4605,0,27,1562,6024,17,27,0,0,G
746,24,5210,4,37,705,1266,17,10,0,0,G
747,60,2609,0,24,3237,2509,16,32,0,1,G
748,36,5004,1,14,1786,2771,10,44,0,0,G
750,24,4911,0,19,1807,4028,7,58,0,1,G
753,48,2103,0,27,625,1276,10,22,0,1,G
755,60,5105,0,30,583,3210,5,41,1,1,G
758,60,5607,4,52,1692,4134,10,46,0,0,G
759,48,3305,0,27,4984,5423,9,25,0,1,G
760,12,6506,3,18,79,1480,11,16,0,1,G
761,60,5706,0,28,134,2342,9,26,0,0,G
762,36,5003,3,43,34,4599,5,80,0,1,G
764,48,3504,0,24,300,4301,4,49,0,1,G
765,48,2206,0,22,809,2263,10,43,0,1,B
768,24,5301,0,20,467,1095,9,12,0,1,G
769,60,5010,6,36,1677,1930,10,26,0,0,B
770,120,5909,2,18,4701,1566,5,18,1,0,B
771,48,2903,0,30,1789,6026,10,52,0,1,G
772,36,4109,0,129,671,6622,16,59,0,1,G
773,60,4708,1,20,1211,4918,5,75,0,0,G
774,60,3207,0,0,0,0,0,70,0,0,G
776,36,3205,0,31,3741,5463,3,57,0,1,G
777,60,3210,0,37,9949,5575,9,40,0,1,G
778,60,4800,5,47,10,6789,10,39,0,0,G
780,12,4300,6,42,112,3589,5,33,1,0,G
781,36,2111,0,18,1737,2186,5,123,1,1,G
782,60,2702,0,34,200,2140,8,24,0,1,G
785,60,4005,0,23,416,2992,13,36,0,1,G
786,60,4707,3,14,2185,2395,11,17,0,1,G
787,60,4511,2,23,213,1721,6,34,0,1,G
788,12,6407,0,23,1943,2473,15,33,0,1,G
789,36,5005,3,15,860,633,18,38,0,1,G
792,60,5510,1,11,243,425,10,16,1,0,G
794,36,5102,3,30,414,4558,10,67,1,1,G
798,24,4409,6,3,1046,15,9,10,0,0,B
799,12,4210,4,37,2853,3535,17,42,0,0,G
800,24,4505,1,36,842,5085,11,15,0,0,G
801,18,6202,1,9,757,375,5,37,1,1,G
802,24,4207,0,44,1019,3697,10,60,0,1,G
803,30,3907,0,43,1889,4134,6,63,0,1,G
805,60,5500,0,48,853,4848,10,50,0,1,G
806,42,3205,4,22,158,2298,12,78,1,0,G
807,24,4608,6,34,323,3602,10,41,1,1,G
812,48,5400,0,48,2700,6414,10,80,0,1,G
818,60,4201,0,56,433,6653,10,78,1,1,G
820,12,6008,0,14,10239,1686,10,46,0,1,G
822,60,4001,2,47,1210,5305,2,67,0,1,G
824,12,3909,0,30,3083,10161,10,32,0,1,G
826,48,4010,0,2,5007,5082,6,47,0,1,G
827,60,3101,0,26,659,2619,8,36,0,1,G
829,36,2502,0,9,568,2454,9,35,0,1,G
830,36,5408,4,12,103,945,9,25,0,0,G
831,30,3907,0,2,141,783,6,57,1,1,G
832,24,2800,0,15,140,1906,3,27,0,1,G
833,36,5800,0,3,14147,265,10,45,0,1,G
834,36,3001,0,10,5203,2257,11,12,0,1,G
835,12,4511,4,20,559,2966,14,42,0,1,G
836,24,2500,0,2,2000,2000,17,23,0,1,B
838,60,3410,0,31,1168,4278,10,41,1,1,G
839,60,3410,0,31,1168,4278,10,41,1,1,G
840,60,5302,1,9,7323,1166,7,45,1,0,B
843,36,4209,0,65,1999,6230,10,42,0,0,G
845,15,4504,0,55,1843,4503,9,56,1,1,G
846,60,4403,1,24,482,2862,17,50,0,1,G
851,48,3411,1,38,705,4205,14,40,0,0,G
852,12,4408,0,63,191,6775,11,66,1,1,G
855,48,4310,3,36,360,4251,15,47,0,1,G
858,60,3906,0,30,17526,13856,14,90,0,1,G
865,12,5809,0,13,1178,4702,10,50,0,1,G
867,30,2508,1,27,1129,1954,1,61,1,1,G
871,36,5603,0,38,3920,3844,14,34,1,1,G
874,72,3805,0,6,80,126,10,10,0,0,G
876,12,2309,0,25,181,2222,3,24,0,0,G
877,48,2803,4,15,564,1345,11,9,0,0,G
879,48,4910,4,25,158,1667,3,45,1,1,G
882,42,4602,6,56,332,2761,10,18,0,0,G
883,60,5402,0,30,3644,3870,9,43,0,1,G
885,36,6310,0,11,1045,1120,10,44,0,1,G
886,12,6410,0,0,0,0,9,49,0,1,G
888,72,4611,0,7,9467,14864,14,15,1,0,G
889,24,5210,4,38,744,4655,10,58,0,1,G
891,48,5110,3,61,505,7079,11,71,1,1,G
892,60,2811,6,28,601,2116,6,30,0,1,G
893,48,3501,0,29,4327,3980,3,36,0,1,G
894,60,3701,0,27,605,2777,10,29,0,1,G
895,24,3611,0,50,2420,12086,10,52,0,1,G
896,60,4506,0,26,2901,3810,12,56,0,1,G
897,120,3900,0,32,976,4181,20,32,0,0,G
899,36,5211,0,35,1689,2798,9,30,0,1,G
902,36,6805,0,0,0,0,10,28,0,1,G
903,84,2810,5,36,764,2647,4,35,1,0,G
904,36,3206,0,50,1775,6255,3,69,1,1,G
905,48,3100,3,33,490,4359,13,30,0,1,G
906,36,4302,1,69,678,4507,17,51,1,1,G
